	word	emotion	association
0	abhorrence	anger	1
1	abhorrent	anger	1
2	abominably	anger	1
3	abominate	anger	1
4	admirable	joy	1
5	admirably	joy	1
6	adore	joy	1
7	adorably	joy	1
8	adoration	joy	1
9	adoring	joy	1
10	affection	joy	1
11	affectional	joy	1
12	affectionate	joy	1
13	affectionateness	joy	1
14	aggrav	anger	1
15	aggress	anger	1
16	aggressiveness	anger	1
17	aggriev	sadness	1
18	aggrieve	sadness	1
19	alarmed	fear	1
20	amat	joy	1
21	amative	joy	1
22	amatori	joy	1
23	amatory	joy	1
24	amaz	surprise	1
25	amic	joy	1
26	amicability	joy	1
27	amicableness	joy	1
28	amicably	joy	1
29	amok	anger	1
30	amor	joy	1
31	amorous	joy	1
32	amorousness	joy	1
33	amuck	anger	1
34	angri	anger	1
35	angrili	anger	1
36	animos	anger	1
37	antagon	anger	1
38	anticipate	joy	1
39	anticipate	joy	1
40	anticipation	joy	1
41	anxiously	fear	1
42	appreciate	joy	1
43	appreciated	joy	1
44	apprehensive	fear	1
45	apprehensively	fear	1
46	apprehensiveness	fear	1
47	approb	joy	1
48	approbative	joy	1
49	approbatori	joy	1
50	approbatory	joy	1
51	approve	joy	1
52	approval	joy	1
53	approve	joy	1
54	approved	joy	1
55	approving	joy	1
56	ardor	joy	1
57	ardour	joy	1
58	astonished	surprise	1
59	astonied	surprise	1
60	astounded	surprise	1
61	atroci	fear	1
62	atrocious	fear	1
63	attach	joy	1
64	attachment	joy	1
65	attrit	sadness	1
66	avarici	anger	1
67	avaricious	anger	1
68	avid	joy	1
69	avidness	joy	1
70	awed	surprise	1
71	awestricken	surprise	1
72	bad_blood	anger	1
73	bad_temp	anger	1
74	bad_temper	anger	1
75	baffled	anger	1
76	balk	anger	1
77	balked	anger	1
78	banter	joy	1
79	barrack	joy	1
80	bash	fear	1
81	bashfully	fear	1
82	be_on_cloud_nin	joy	1
83	be_on_cloud_nine	joy	1
84	beam	joy	1
85	beaming	joy	1
86	becharm	joy	1
87	begrudg	anger	1
88	begrudging	anger	1
89	beguil	joy	1
90	beguile	joy	1
91	beguiled	joy	1
92	belliger	anger	1
93	belligerence	anger	1
94	belligerency	anger	1
95	belligerent	anger	1
96	belligerently	anger	1
97	belong	joy	1
98	belonging	joy	1
99	benef	joy	1
100	benefic	joy	1
101	beneficed	joy	1
102	beneficence	joy	1
103	beneficent	joy	1
104	benefici	joy	1
105	beneficially	joy	1
106	benevol	joy	1
107	benevolence	joy	1
108	benevolent	joy	1
109	benevolently	joy	1
110	bereav	sadness	1
111	besot	surprise	1
112	bewild	surprise	1
113	bewitching	joy	1
114	blith	joy	1
115	blithely	joy	1
116	blitheness	joy	1
117	blue_devil	sadness	1
118	blue_devils	sadness	1
119	bode	fear	1
120	boding	fear	1
121	bonheur	joy	1
122	bore	sadness	1
123	bothersom	anger	1
124	brokenheartedness	sadness	1
125	brotherhood	joy	1
126	brotherlik	joy	1
127	brotherlike	joy	1
128	brotherly	joy	1
129	browbeaten	fear	1
130	bulli	fear	1
131	bullied	fear	1
132	buoyanc	joy	1
133	buoyancy	joy	1
134	calf_lov	joy	1
135	calf_love	joy	1
136	captiv	joy	1
137	captivate	joy	1
138	captivating	joy	1
139	captivation	joy	1
140	capture	joy	1
141	carefree	joy	1
142	carefreeness	joy	1
143	caring	joy	1
144	cast_down	sadness	1
145	charge	joy	1
146	charity	joy	1
147	charm	joy	1
148	charmed	joy	1
149	cheer	joy	1
150	cheer_up	joy	1
151	cheerfully	joy	1
152	cheeri	joy	1
153	cheering	joy	1
154	cheerlessly	sadness	1
155	cheerlessness	sadness	1
156	chilling	fear	1
157	chirk_up	joy	1
158	churn_up	anger	1
159	class_feel	anger	1
160	class_feeling	anger	1
161	close	joy	1
162	closeness	joy	1
163	coldhearted	fear	1
164	coldheartedness	fear	1
165	comfortableness	joy	1
166	commend	joy	1
167	commendable	joy	1
168	compatible	joy	1
169	compatibility	joy	1
170	compatible	joy	1
171	compatibly	joy	1
172	complacent	joy	1
173	complacence	joy	1
174	compunct	sadness	1
175	congratulations	joy	1
176	congratulate	joy	1
177	console	joy	1
178	constern	fear	1
179	contemn	anger	1
180	contented	joy	1
181	contrit	sadness	1
182	contritely	sadness	1
183	contriteness	sadness	1
184	covet	anger	1
185	covetous	anger	1
186	covetously	anger	1
187	covetousness	anger	1
188	cowed	fear	1
189	cring	fear	1
190	crucifi	anger	1
191	cruelli	fear	1
192	cruelly	fear	1
193	cruelti	fear	1
194	delight	joy	1
195	demor	sadness	1
196	demoralis	sadness	1
197	demoralising	sadness	1
198	demoralization	sadness	1
199	demoralized	sadness	1
200	demoralizing	sadness	1
201	deplor	sadness	1
202	deplorably	sadness	1
203	desol	sadness	1
204	despairingly	sadness	1
205	despis	anger	1
206	despisal	anger	1
207	despise	anger	1
208	despising	anger	1
209	despit	anger	1
210	despiteful	anger	1
211	despondence	sadness	1
212	despondently	sadness	1
213	detestable	anger	1
214	detestably	anger	1
215	devot	joy	1
216	devoted	joy	1
217	devotedness	joy	1
218	devotion	joy	1
219	diffid	fear	1
220	diffident	fear	1
221	diffidently	fear	1
222	dingi	sadness	1
223	dingy	sadness	1
224	disconsol	sadness	1
225	disconsolateness	sadness	1
226	disgustedly	anger	1
227	disgustful	anger	1
228	disgusting	anger	1
229	disgustingly	anger	1
230	disheartened	sadness	1
231	disheartening	sadness	1
232	dispiritedness	sadness	1
233	dispiriting	sadness	1
234	displeas	anger	1
235	displeased	anger	1
236	displeasing	anger	1
237	displeasingly	anger	1
238	displeasur	anger	1
239	distast	anger	1
240	distasteful	anger	1
241	distastefully	anger	1
242	dole	sadness	1
243	dolefully	sadness	1
244	dolefulness	sadness	1
245	dolourous	sadness	1
246	downheart	sadness	1
247	downheartedness	sadness	1
248	downtrodden	sadness	1
249	dreadfully	fear	1
250	drear	sadness	1
251	dreari	sadness	1
252	dumfound	surprise	1
253	dumfounded	surprise	1
254	dun	anger	1
255	dysphor	sadness	1
256	eager	joy	1
257	eagerly	joy	1
258	ebulli	joy	1
259	ebullient	joy	1
260	ebulliently	joy	1
261	elan	joy	1
262	elat	joy	1
263	elate	joy	1
264	elating	joy	1
265	elation	joy	1
266	embolden	joy	1
267	emot	joy	1
268	emotive	joy	1
269	empath	joy	1
270	empathet	joy	1
271	empathetically	joy	1
272	empathi	joy	1
273	empathy	joy	1
274	enamor	joy	1
275	enamored	joy	1
276	enamoredness	joy	1
277	enamour	joy	1
278	enchant	joy	1
279	enchantment	joy	1
280	endear	joy	1
281	endearingly	joy	1
282	enfuri	anger	1
283	enfuriate	anger	1
284	enjoy	joy	1
285	enmiti	anger	1
286	enrag	anger	1
287	enragement	anger	1
288	enthral	joy	1
289	enthralled	joy	1
290	enthralling	joy	1
291	enthrallment	joy	1
292	enthusiasm	joy	1
293	enthusiast	joy	1
294	enthusiastic	joy	1
295	enthusiastically	joy	1
296	entranc	joy	1
297	entrance	joy	1
298	entranced	joy	1
299	entrancing	joy	1
300	envi	anger	1
301	enviabl	anger	1
302	enviable	anger	1
303	enviably	anger	1
304	enviously	anger	1
305	enviousness	anger	1
306	esteem	joy	1
307	euphor	joy	1
308	euphori	joy	1
309	euphoria	joy	1
310	euphoriant	joy	1
311	exacerb	anger	1
312	exalt	joy	1
313	exasper	anger	1
314	exasperating	anger	1
315	excit	joy	1
316	exciting	joy	1
317	execrate	anger	1
318	exhilar	joy	1
319	exhilarate	joy	1
320	exhilarated	joy	1
321	exhilarating	joy	1
322	exhilaration	joy	1
323	exhort	joy	1
324	expans	joy	1
325	expansively	joy	1
326	expect	joy	1
327	expectancy	joy	1
328	exuber	joy	1
329	exuberance	joy	1
330	exuberantly	joy	1
331	exultantly	joy	1
332	exultingly	joy	1
